,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
48,Ancien 2019 Jouissance Pinot Noir (Russian River Valley),$58,14.0,750,Red,Sonoma,Pinot Noir,Ancien,96 Points,2019
49,Fernández Rivera 2018 Tinto Pesquera Reserva  (Ribera del Duero),$60,14.0,750,Red,Northern Spain,Tempranillo,Fernández Rivera,96 Points,2018
50,Mauro 2018 VS Tempranillo (Vino de la Tierra de Castilla y León),$110,14.0,750,Red,Northern Spain,Tempranillo,Mauro,96 Points,2018
51,Mayacamas 2018 Cabernet Sauvignon (Mount Veeder),$150,14.0,750,Red,Napa,Cabernet Sauvignon,Mayacamas,96 Points,2018
52,Caladan 2019 Cabernet Franc (Napa Valley),$250,14.0,750,Red,Napa,Cabernet Franc,Caladan,96 Points,2019
53,Croix 2020 Richard Dinner Vineyard Chardonnay (Sonoma Mountain),$75,14.0,750,White,Sonoma,Chardonnay,Croix,96 Points,2020
54,Baca 2020 Tug o' War Maffei Vineyard Zinfandel (Russian River Valley),$70,15.0,750,Red,Sonoma,Zinfandel,Baca,95 Points,2020
55,Pine Ridge 2019 Cabernet Sauvignon (Stags Leap District),$140,15.0,750,Red,Napa,Cabernet Sauvignon,Pine Ridge,95 Points,2019
56,Stolpman 2020 The Great Places August James Stolpman Syrah (Ballard Canyon),$98,14.0,750,Red,Central Coast,Syrah,Stolpman,95 Points,2020
57,Charles Heidsieck 2008 Rosé Millésimé Brut  (Champagne),$170,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Charles Heidsieck,95 Points,2008
58,Gosset 2008 Célébris Rosé Brut  (Champagne),$215,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Gosset,95 Points,2008
59,La Jota Vineyard 2019 Cabernet Franc (Howell Mountain),$125,14.0,750,Red,Napa,Cabernet Franc,La Jota Vineyard,95 Points,2019
60,Raymond 2019 District Collection Cabernet Sauvignon (Howell Mountain),$115,14.0,750,Red,Napa,Cabernet Sauvignon,Raymond,95 Points,2019
61,Tedeschi 2018 Marne 180  (Amarone della Valpolicella),$60,16.0,750,Red,Veneto,"Red Blends, Red Blends",Tedeschi,95 Points,2018
62,Shared Notes 2021 Les Leçons des Maîtres Sauvignon Blanc-Semillon (Russian River Valley),$75,13.0,750,White,Sonoma,"Sauvignon Blanc-Semillon, Bordeaux-style White Blend",Shared Notes,95 Points,2021
63,Tolosa 2020 Drum Canyon Vineyard Pinot Noir (Sta. Rita Hills),$132,14.0,750,Red,Central Coast,Pinot Noir,Tolosa,95 Points,2020
64,Three Sticks 2020 Alana Vineyard Chardonnay (Russian River Valley),$75,14.0,750,White,Sonoma,Chardonnay,Three Sticks,95 Points,2020
65,Ten Acre 2019 Earl Stephens Vineyard Pinot Noir (Russian River Valley),$70,14.0,750,Red,Sonoma,Pinot Noir,Ten Acre,95 Points,2019
66,Alberto Orte 2010 La Antigua Clásico Gran Reserva  (Rioja),$60,13.0,750,Red,Northern Spain,"Red Blends, Red Blends",Alberto Orte,95 Points,2010
67,Campo Eliseo 2017  Toro,$75,14.0,750,Red,Northern Spain,"Tinta de Toro, Tempranillo",Campo Eliseo,95 Points,2017
68,Señorío de Sotillo 2012 Gran Reserva  (Ribera del Duero),N/A,14.0,750,Red,Northern Spain,Tempranillo,Señorío de Sotillo,95 Points,2012
69,Terre Rouge 2019 Ascent Syrah (Sierra Foothills),$100,14.0,750,Red,Sierra Foothills,Syrah,Terre Rouge,95 Points,2019
70,Ridge 2020 Evangelho Red (Contra Costa County),$37,13.0,750,Red,Central Coast,"Red Blends, Red Blends",Ridge,95 Points,2020
71,Taub Family Vineyards 2018 Cabernet Sauvignon (Mount Veeder),$85,14.0,750,Red,Napa,Cabernet Sauvignon,Taub Family Vineyards,95 Points,2018
72,Ancien 2019 Mink Vineyard Pinot Noir (Coombsville),$60,14.0,750,Red,Napa,Pinot Noir,Ancien,95 Points,2019
73,Gosset 2008 Célébris Brut  (Champagne),$195,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Gosset,95 Points,2008
74,Tres Perlas 2020 Renteria Brown Ranch Chardonnay (Los Carneros),$80,14.0,750,White,Napa-Sonoma,Chardonnay,Tres Perlas,95 Points,2020
75,Turnbull 2019 Fortuna Vineyard Estate Grown Cabernet Sauvignon (Oakville),$145,14.0,750,Red,Napa,Cabernet Sauvignon,Turnbull,95 Points,2019
76,MacRostie 2020 Dutton Ranch Chardonnay (Russian River Valley),$48,14.0,750,White,Sonoma,Chardonnay,MacRostie,95 Points,2020
77,Masi 2013 Mazzano  (Amarone della Valpolicella Classico),$190,16.0,750,Red,Veneto,"Corvina, Rondinella, Molinara, Italian Red",Masi,95 Points,2013
78,Penfolds 2019 Bin 149 Wine of the World Cabernet Sauvignon (America),$150,14.0,750,Red,US,Cabernet Sauvignon,Penfolds,95 Points,2019
79,Thacher 2019 Homestead Hill Vineyard Syrah (Paso Robles Willow Creek District),$52,14.0,750,Red,Central Coast,Syrah,Thacher,95 Points,2019
80,Marimar 2019 Doña Margarita Vineyard Método Antiguo Pinot Noir (Sonoma Coast),$66,13.0,750,Red,Sonoma,Pinot Noir,Marimar,95 Points,2019
81,Three Sticks 2020 William James Vineyard Pinot Noir (Russian River Valley),$75,14.0,750,Red,Sonoma,Pinot Noir,Three Sticks,95 Points,2020
82,Stag's Leap Wine Cellars 2020 Arcadia Chardonnay (Napa Valley),$65,14.0,750,White,Napa,Chardonnay,Stag's Leap Wine Cellars,95 Points,2020
83,Future Perfect 2021 The Joy Fantastic Vineyard Pinot Noir (Sta. Rita Hills),$70,12.0,750,Red,Central Coast,Pinot Noir,Future Perfect,95 Points,2021
84,Protos 2018 Selección Finca El Grajo Viejo  (Ribera del Duero),$99,15.0,750,Red,Northern Spain,Tempranillo,Protos,95 Points,2018
85,Rolland & Galarreta 2014 Tempranillo  (Rioja),$18,14.0,750,Red,Northern Spain,Tempranillo,Rolland & Galarreta,95 Points,2014
86,Spottswoode 2019 Lyndenhurst Cabernet Sauvignon (Napa Valley),$90,13.0,750,Red,Napa,Cabernet Sauvignon,Spottswoode,95 Points,2019
87,Vega Sicilia NV Unico Reserva Especial  (Ribera del Duero),$825,14.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Vega Sicilia,95 Points,
88,Veuve Clicquot Ponsardin 2012 La Grande Dame Rosé Brut  (Champagne),$320,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Veuve Clicquot Ponsardin,95 Points,2012
89,Raymond 2019 District Collection Cabernet Sauvignon (Diamond Mountain District),$110,14.0,750,Red,Napa,Cabernet Sauvignon,Raymond,95 Points,2019
90,Rusack 2019 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),$40,14.0,750,White,Central Coast,Chardonnay,Rusack,95 Points,2019
91,Tres Perlas 2019 Adonde Beckstoffer To Kalon Cabernet Franc (Oakville),$250,15.0,750,Red,Napa,Cabernet Franc,Tres Perlas,95 Points,2019
