,Unnamed: 0,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
<<<<<<< HEAD
3750,3750,Monte da Ravasqueira 2021 Colete Velho Red (Tejo),$15 ,13.0,750,Red,Portugal,Portuguese Red,Monte da Ravasqueira,86 Points,2021.0
3751,3751,Monte da Ravasqueira 2021 Dona Vitoria Coleção Privada Red (Alentejano),$20 ,13.0,750,Red,Portugal,Portuguese Red,Monte da Ravasqueira,86 Points,2021.0
3753,3753,Torbreck 2021 Woodcutter's Semillon (Barossa Valley),$20 ,13.0,750,White,South Australia,"Sémillon, Sémillon",Torbreck,86 Points,2021.0
3754,3754,Treleaven 2020 Reserve Chardonnay (Cayuga Lake),$22 ,13.0,750,White,Finger Lakes,Chardonnay,Treleaven,86 Points,2020.0
3756,3756,Whitecliff Vineyard 2019 Reserve Chardonnay (Hudson River Region),$25 ,13.0,750,White,New York Other,Chardonnay,Whitecliff Vineyard,86 Points,2019.0
3757,3757,Parras Wines 2020 Montaria Red (Alentejano),$11 ,14.0,750,Red,Portugal,Portuguese Red,Parras Wines,86 Points,2020.0
3758,3758,Sun Garden 2020 Dornfelder (Rheinhessen),$11 ,9.0,750,Red,Germany,"Dornfelder, Other Red",Sun Garden,86 Points,2020.0
3759,3759,DFJ Vinhos 2021 Portada Winemaker's Selection White (Lisboa),$10 ,12.0,750,White,Portugal,Portuguese White,DFJ Vinhos,86 Points,2021.0
3762,3762,Boschendal 2020 Chardonnay (Western Cape),$17 ,13.0,750,White,South Africa,Chardonnay,Boschendal,86 Points,2020.0
3763,3763,Box Wine Company 2020 Black Roses Sangiovese (North Coast),$40 ,13.0,750,Red,North Coast,Sangiovese,Box Wine Company,86 Points,2020.0
3764,3764,Casa Relvas 2020 Redondo Red (Alentejo),$25 ,14.0,750,Red,Portugal,Portuguese Red,Casa Relvas,86 Points,2020.0
3765,3765,Château des Estanilles 2019 Vallongue White (Faugères),$25 ,13.0,750,White,Languedoc-Roussillon,Rhône-style White Blend,Château des Estanilles,86 Points,2019.0
3767,3767,Château Vermont 2020  Bordeaux Supérieur,$25 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Vermont,86 Points,2020.0
3768,3768,Ivory and Burt 2019 Old Vine Zinfandel (Lodi),$16 ,15.0,750,Red,Central Valley,Zinfandel,Ivory and Burt,86 Points,2019.0
3770,3770,Mahoney 2019 Mahoney Ranch Estate Grown Pinot Noir (Carneros),$40 ,14.0,750,Red,Napa-Sonoma,Pinot Noir,Mahoney,86 Points,2019.0
3772,3772,Millbrook 2021 Proprietor's Special Reserve Grüner Veltliner (Hudson River Region),$22 ,12.0,750,White,New York Other,Grüner Veltliner,Millbrook,86 Points,2021.0
3773,3773,Monte da Ravasqueira 2021 Encantado White (Alentejano),$20 ,13.0,750,White,Portugal,Portuguese White,Monte da Ravasqueira,86 Points,2021.0
3774,3774,Monte da Ravasqueira 2021 Mocho Galego Premium Red (Alentejano),$15 ,13.0,750,Red,Portugal,Portuguese Red,Monte da Ravasqueira,86 Points,2021.0
3775,3775,Sogevinus 2021 Tavedo White (Douro),$15 ,12.0,750,White,Portugal,Portuguese White,Sogevinus,86 Points,2021.0
3776,3776,Some Young Punks 2020 The Squid's Fist Red (Clare Valley),$31 ,13.0,750,Red,South Australia,"Red Blends, Red Blends",Some Young Punks,86 Points,2020.0
3777,3777,Trestle Thirty One 2020 Chardonnay (Finger Lakes),$32 ,13.0,750,White,Finger Lakes,Chardonnay,Trestle Thirty One,86 Points,2020.0
3778,3778,Vignobles Gabriel and Co. 2020 Les Hauts de Villebourbon  (Castillon Côtes de Bordeaux),$15 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Vignobles Gabriel and Co.,86 Points,2020.0
3779,3779,Winzer Krems 2021 Kremstal Grüner Veltliner (Kremstal),$15 ,13.0,750,White,Austria,Grüner Veltliner,Winzer Krems,86 Points,2021.0
3783,3783,Boschendal 2020 Chardonnay (Western Cape),$17 ,13.0,750,White,South Africa,Chardonnay,Boschendal,86 Points,2020.0
3784,3784,Box Wine Company 2020 Black Roses Sangiovese (North Coast),$40 ,13.0,750,Red,North Coast,Sangiovese,Box Wine Company,86 Points,2020.0
3785,3785,Casa Relvas 2020 Redondo Red (Alentejo),$25 ,14.0,750,Red,Portugal,Portuguese Red,Casa Relvas,86 Points,2020.0
3786,3786,Château des Estanilles 2019 Vallongue White (Faugères),$25 ,13.0,750,White,Languedoc-Roussillon,Rhône-style White Blend,Château des Estanilles,86 Points,2019.0
3788,3788,Château Vermont 2020  Bordeaux Supérieur,$25 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Vermont,86 Points,2020.0
3789,3789,Adega Mãe 2021 Pinta Negra Red (Lisboa),$8 ,13.0,750,Red,Portugal,Portuguese Red,Adega Mãe,86 Points,2021.0
3790,3790,Axel des Vignes 2020  Bordeaux,$11 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Axel des Vignes,86 Points,2020.0
3791,3791,Château Mazetier 2020 Tradition  (Bordeaux),$10 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Mazetier,86 Points,2020.0
3792,3792,DFJ Vinhos 2020 Bigode Red (Lisboa),$10 ,12.0,750,Red,Portugal,Portuguese Red,DFJ Vinhos,86 Points,2020.0
3794,3794,Biokult 2021 Grüner Veltliner (Austria),$19 ,11.0,750,White,Austria,Grüner Veltliner,Biokult,86 Points,2021.0
3795,3795,Casa Relvas 2021 Herdade de São Miguel Coheita Seleccionada White (Alentejano),$15 ,12.0,750,White,Portugal,Portuguese White,Casa Relvas,86 Points,2021.0
3796,3796,Château Feret Lambert 2020  Bordeaux Supérieur,$19 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Feret Lambert,86 Points,2020.0
3797,3797,Château Laronde Desormes 2020  Bordeaux Supérieur,$32 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Laronde Desormes,86 Points,2020.0
3798,3798,Château Puy de Guirande 2020  Bordeaux,$15 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Puy de Guirande,86 Points,2020.0
3800,3800,Domaine de Fabrègues 2018 Le Coeur Red (Languedoc),$50 ,14.0,750,Red,Languedoc-Roussillon,Rhône-style Red Blend,Domaine de Fabrègues,86 Points,2018.0
3801,3801,Freedom Run 2018 Estate Meritage Appassimento Red (Niagara Escarpment),$40 ,15.0,750,Red,New York Other,Bordeaux-style Red Blend,Freedom Run,86 Points,2018.0
3802,3802,Greg Norman Estates 2019 Shiraz (Limestone Coast),$17 ,14.0,750,Red,South Australia,Shiraz,Greg Norman Estates,86 Points,2019.0
3803,3803,Hosmer 2020 Chardonnay (Cayuga Lake),$18 ,12.0,750,White,Finger Lakes,Chardonnay,Hosmer,86 Points,2020.0
3805,3805,McGrail 2021 Peyton Paige Sauvignon Blanc (Livermore Valley),$28 ,13.0,750,White,Central Coast,Sauvignon Blanc,McGrail,86 Points,2021.0
3806,3806,Monte da Ravasqueira 2021 Mocho Galego Signature White (Alentejano),$20 ,13.0,750,White,Portugal,Portuguese White,Monte da Ravasqueira,86 Points,2021.0
3807,3807,Muirwood 2020 Vaquero Block Cabernet Sauvignon (Arroyo Seco),$22 ,14.0,750,Red,Central Coast,Cabernet Sauvignon,Muirwood,86 Points,2020.0
3809,3809,Quinta da Raza 2021 Dom Diogo Azal Colheita Seleccionada Azal (Vinho Verde),$14 ,12.0,750,White,Portugal,"Azal, Portuguese White",Quinta da Raza,86 Points,2021.0
3810,3810,Strauss 2020 Sämling 88 Klassik Scheurebe (Steirerland),$16 ,11.0,750,White,Austria,"Scheurebe, Other White",Strauss,86 Points,2020.0
3813,3813,Bec Hardy 2021 Time Flies When You're Having Fun Sauvignon Blanc (South Australia),$17 ,13.0,750,White,South Australia,Sauvignon Blanc,Bec Hardy,85 Points,2021.0
3814,3814,Damiani 2020 Merlot (Finger Lakes),$31 ,14.0,750,Red,Finger Lakes,Merlot,Damiani,85 Points,2020.0
3816,3816,Hector Wine Company 2019 Essence Red (Seneca Lake),$28 ,13.0,750,Red,Finger Lakes,Bordeaux-style Red Blend,Hector Wine Company,85 Points,2019.0
3817,3817,Les Vignerons Réunis de Monségur 2020 Château Marchand Bellevue  (Bordeaux),$17 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Les Vignerons Réunis de Monségur,85 Points,2020.0
3819,3819,McGrail 2019 Lucky 8 Vineyard Colton's Cabernet Sauvignon (Livermore Valley),$44 ,14.0,750,Red,Central Coast,Cabernet Sauvignon,McGrail,85 Points,2019.0
3820,3820,Monte da Ravasqueira 2021 Colete Velho White (Tejo),$15 ,12.0,750,White,Portugal,Portuguese White,Monte da Ravasqueira,85 Points,2021.0
3823,3823,Quinta do Casal Branco 2020 Capoeira White (Tejo),$12 ,13.0,750,White,Portugal,Portuguese White,Quinta do Casal Branco,85 Points,2020.0
3824,3824,Scotto Family Cellars 2020 Anthony & Dominic Pinot Noir (North Coast),$20 ,13.0,750,Red,North Coast,Pinot Noir,Scotto Family Cellars,85 Points,2020.0
3826,3826,Wilhelm Bergmann 2018 Semi-Sweet Red Wine Dornfelder (Rheinhessen),$12 ,10.0,750,Red,Germany,"Dornfelder, Other Red",Wilhelm Bergmann,85 Points,2018.0
3827,3827,Buttonwood Grove 2020 Chardonnay (Finger Lakes),$20 ,12.0,750,White,Finger Lakes,Chardonnay,Buttonwood Grove,85 Points,2020.0
3828,3828,Caparra & Siciliani 2019  Cirò,$24 ,13.0,750,Red,Southern Italy,"Gaglioppo, Italian Red",Caparra & Siciliani,85 Points,2019.0
3829,3829,Château Haut Vieux Chêne 2020  Bordeaux,$17 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Haut Vieux Chêne,85 Points,2020.0
3830,3830,Château Le Bonalguet 2020  Bordeaux,$20 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Le Bonalguet,85 Points,2020.0
3832,3832,Château de l'Orangerie 2020 Premier Vin  (Bordeaux Supérieur),$14 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château de l'Orangerie,85 Points,2020.0
3833,3833,Damiani 2020 Cabernet Sauvignon (Finger Lakes),$29 ,14.0,750,Red,Finger Lakes,Cabernet Sauvignon,Damiani,85 Points,2020.0
3835,3835,Jen Pfeiffer 2020 The Rebel Tempranillo (Victoria),$21 ,14.0,750,Red,Victoria,Tempranillo,Jen Pfeiffer,85 Points,2020.0
3836,3836,Karl Josef 2020 Dornfelder (Rheinhessen),$11 ,9.0,750,Red,Germany,"Dornfelder, Other Red",Karl Josef,85 Points,2020.0
3837,3837,Manz 2019 Platónico White (Lisboa),$12 ,14.0,750,White,Portugal,Portuguese White,Manz,85 Points,2019.0
3838,3838,Neethlingshof 2020 Chenin Blanc (Stellenbosch),$15 ,13.0,750,White,South Africa,Chenin Blanc,Neethlingshof,85 Points,2020.0
3839,3839,Pratsch 2021 Grüner Veltliner (Niederösterreich),$15 ,12.0,750,White,Austria,Grüner Veltliner,Pratsch,85 Points,2021.0
3843,3843,Quinta de S. Sebastião 2021 Dona Flor White (Lisboa),$15 ,12.0,750,White,Portugal,Portuguese White,Quinta de S. Sebastião,85 Points,2021.0
3844,3844,Treleaven 2020 Sawmill Creek Vineyards Cabernet Sauvignon (Seneca Lake),$35 ,14.0,750,Red,Finger Lakes,Cabernet Sauvignon,Treleaven,85 Points,2020.0
3845,3845,Vignerons de Puisseguin Lussac Saint-Emilion 2020 Les Rocs du Barry  (Bordeaux Supérieur),$18 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Vignerons de Puisseguin Lussac Saint-Emilion,85 Points,2020.0
3848,3848,Quinta de S. Sebastião 2021 Fonte das Setas Red (Lisboa),$10 ,13.0,750,Red,Portugal,Portuguese Red,Quinta de S. Sebastião,85 Points,2021.0
3849,3849,Casca Wines 2021 Cascas Winemaker's Selection White (Lisboa),$10 ,12.0,750,White,Portugal,Portuguese White,Casca Wines,85 Points,2021.0
3850,3850,Puiatti 2021 Pinot Grigio (Friuli),$20 ,12.0,750,White,Northeastern Italy,Pinot Grigio,Puiatti,85 Points,2021.0
3851,3851,Château Tour Chapoux 2020  Bordeaux Supérieur,$11 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Tour Chapoux,85 Points,2020.0
3852,3852,D'Arenberg 2019 The Love Grass Organic Shiraz (McLaren Vale),$21 ,14.0,750,Red,South Australia,Shiraz,D'Arenberg,85 Points,2019.0
3854,3854,Monte da Ravasqueira 2021 Clássico Branco White (Alentejano),$15 ,13.0,750,White,Portugal,Portuguese White,Monte da Ravasqueira,85 Points,2021.0
3855,3855,Monte da Ravasqueira 2021 Clássico Red (Alentejano),$15 ,13.0,750,Red,Portugal,Portuguese Red,Monte da Ravasqueira,85 Points,2021.0
3859,3859,Whitecliff Vineyard 2016 Sky Island Red (Hudson River Region),$33 ,12.0,750,Red,New York Other,Bordeaux-style Red Blend,Whitecliff Vineyard,85 Points,2016.0
3861,3861,Adega de Borba 2020 Montes Claros White (Alentejo),$9 ,13.0,750,White,Portugal,Portuguese White,Adega de Borba,85 Points,2020.0
3862,3862,Casca Wines 2020 1808 Red (Beira Interior),$10 ,13.0,750,Red,Portugal,Portuguese Red,Casca Wines,85 Points,2020.0
3863,3863,Lindeborg Wines 2017 Fulgor Red (Lisboa),$10 ,13.0,750,Red,Portugal,Portuguese Red,Lindeborg Wines,85 Points,2017.0
3864,3864,Bec Hardy 2019 Shiraz (South Australia),$17 ,14.0,750,Red,South Australia,Shiraz,Bec Hardy,85 Points,2019.0
3866,3866,Quinta de S. Sebastião 2021 Forte do Ciego White (Lisboa),$10 ,12.0,750,White,Portugal,Portuguese White,Quinta de S. Sebastião,85 Points,2021.0
3867,3867,Quinta de S. Sebastião 2021 Portão 9 White (Lisboa),$10 ,12.0,750,White,Portugal,Portuguese White,Quinta de S. Sebastião,85 Points,2021.0
3869,3869,McPherson Wine Company 2020 MWC Chardonnay (Victoria),$16 ,13.0,750,White,Victoria,Chardonnay,McPherson Wine Company,85 Points,2020.0
3873,3873,Quinta da Rede 2021 Rede White (Douro),$13 ,12.0,750,White,Portugal,Portuguese White,Quinta da Rede,85 Points,2021.0
3874,3874,Souverain 2020 Pinot Noir (California),$11 ,13.0,750,Red,California Other,Pinot Noir,Souverain,85 Points,2020.0
3875,3875,Yalumba 2021 Y Series Sauvignon Blanc (South Australia),$14 ,12.0,750,White,South Australia,Sauvignon Blanc,Yalumba,85 Points,2021.0
3878,3878,Château Argadens 2020  Bordeaux Supérieur,$16 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Argadens,85 Points,2020.0
3879,3879,Château les Fermenteaux 2020  Bordeaux,$16 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château les Fermenteaux,85 Points,2020.0
3881,3881,DFJ Vinhos 2020 Casa do Lago Red (Lisboa),$10 ,12.0,750,Red,Portugal,Portuguese Red,DFJ Vinhos,85 Points,2020.0
3882,3882,DFJ Vinhos 2020 Coreto Red (Lisboa),$10 ,11.0,750,Red,Portugal,Portuguese Red,DFJ Vinhos,85 Points,2020.0
3883,3883,Château Penin 2019 Les Cailloux  (Bordeaux Supérieur),$27 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Penin,85 Points,2019.0
3884,3884,Château Saint Seurin De Léviac 2020  Bordeaux Supérieur,$15 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Saint Seurin De Léviac,85 Points,2020.0
3885,3885,Château Tassin 2021  Bordeaux Blanc,$14 ,12.0,750,White,Bordeaux,Bordeaux-style White Blend,Château Tassin,85 Points,2021.0
3886,3886,Encostas de Estremoz 2019 Signature Edição da Enólogia Red (Alentejano),$20 ,14.0,750,Red,Portugal,Portuguese Red,Encostas de Estremoz,85 Points,2019.0
3887,3887,Fowles Wine 2019 Are You Game? Shiraz (Victoria),$20 ,15.0,750,Red,Victoria,Shiraz,Fowles Wine,85 Points,2019.0
3888,3888,Quinta de Paços 2021 Casa de Paços Loureiro & Arinto White (Vinho Verde),$10 ,12.0,750,White,Portugal,Portuguese White,Quinta de Paços,85 Points,2021.0
3889,3889,Lechthaler 2021 Torre Di Luna In The Shadow Of The Moon Pinot Grigio Pinot Grigio (Venezie),$13 ,13.0,750,White,Northeastern Italy,Pinot Grigio,Lechthaler,85 Points,2021.0
3890,3890,Markus Huber 2021 Vision Grüner Veltliner (Austria),$14 ,12.0,750,White,Austria,Grüner Veltliner,Markus Huber,85 Points,2021.0
3891,3891,Monte da Ravasqueira 2021 Mocho Galego Signature Red (Alentejano),$20 ,13.0,750,Red,Portugal,Portuguese Red,Monte da Ravasqueira,85 Points,2021.0
3893,3893,Vignerons de Puisseguin Lussac Saint-Emilion 2020 Prieur Saint-Florent  (Côtes de Bordeaux),$20 ,15.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Vignerons de Puisseguin Lussac Saint-Emilion,85 Points,2020.0
3894,3894,Château Tour de Goupin 2020  Bordeaux,$13 ,15.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Tour de Goupin,84 Points,2020.0
3897,3897,Quinta da Raza 2021 Escolha White (Vinho Verde),$12 ,11.0,750,White,Portugal,Portuguese White,Quinta da Raza,84 Points,2021.0
3898,3898,Quinta de S. Sebastião 2021 Q.S.S. Rare White (Lisboa),$13 ,12.0,750,White,Portugal,Portuguese White,Quinta de S. Sebastião,84 Points,2021.0
3899,3899,Vicente Faria Vinhos 2021 Animus White (Vinho Verde),$11 ,11.0,750,White,Portugal,Portuguese White,Vicente Faria Vinhos,84 Points,2021.0
3900,3900,Brick & Cole 2019 Cabernet Sauvignon (California),$14 ,13.0,750,Red,California Other,Cabernet Sauvignon,Brick & Cole,84 Points,2019.0
3901,3901,Caparra & Siciliani 2020 Solagi  (Cirò),$22 ,13.0,750,Red,Southern Italy,"Gaglioppo, Italian Red",Caparra & Siciliani,84 Points,2020.0
3903,3903,Château Penin 2020 Natur  (Bordeaux),$17 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Penin,84 Points,2020.0
3904,3904,Citran 2020  Bordeaux Supérieur,$20 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Citran,84 Points,2020.0
3905,3905,MAN Family Wines 2019 Ou Kalant Cabernet Sauvignon (Coastal Region),$12 ,13.0,750,Red,South Africa,Cabernet Sauvignon,MAN Family Wines,84 Points,2019.0
3907,3907,Barrel Burner 2021 Double Oak Chardonnay (Paso Robles),$15 ,15.0,750,White,Central Coast,Chardonnay,Barrel Burner,84 Points,2021.0
3908,3908,Buttonwood Grove 2019 Cabernet Sauvignon (Finger Lakes),$30 ,12.0,750,Red,Finger Lakes,Cabernet Sauvignon,Buttonwood Grove,84 Points,2019.0
3909,3909,Château Jalousie Beaulieu 2020 Cuvée Prestige  (Bordeaux Supérieur),$18 ,14.0,750,Red,Bordeaux,Merlot,Château Jalousie Beaulieu,84 Points,2020.0
3910,3910,Fria Frio 2021 White (Vinho Verde),$15 ,9.0,750,White,Portugal,Portuguese White,Fria Frio,84 Points,2021.0
3913,3913,Usual 2020 Large Glass Of Red (Mendocino County),$8 ,14.0,187,Red,Mendocino County,"Red Blends, Red Blends",Usual,84 Points,2020.0
3914,3914,Warwick 2017 Estate Reserve Red (Stellenbosch),$50 ,14.0,750,Red,South Africa,Bordeaux-style Red Blend,Warwick,84 Points,2017.0
3915,3915,Château de Marsan 2021  Bordeaux Blanc,$16 ,12.0,750,White,Bordeaux,Bordeaux-style White Blend,Château de Marsan,84 Points,2021.0
3916,3916,Château Sainte-Barbe 2020  Bordeaux Supérieur,$20 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Sainte-Barbe,84 Points,2020.0
3917,3917,Dandelion 2021 Wishing Clock of the Adelaide Hills Sauvignon Blanc (Adelaide Hills),$20 ,11.0,750,White,South Australia,Sauvignon Blanc,Dandelion,84 Points,2021.0
3919,3919,Quinta de S. Sebastião 2021 Janela Branca Colheita Seleccionada Red (Lisboa),$9 ,13.0,750,Red,Portugal,Portuguese Red,Quinta de S. Sebastião,84 Points,2021.0
3921,3921,Château Belair Coubet 2020  Bordeaux Supérieur,$20 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Belair Coubet,84 Points,2020.0
3922,3922,Château Dallau 2020  Bordeaux Supérieur,$15 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Dallau,84 Points,2020.0
3923,3923,Château Haut Landon 2020  Bordeaux Supérieur,$18 ,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Haut Landon,84 Points,2020.0
3924,3924,Château Moulin de Bernat 2020  Bordeaux,$15 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Moulin de Bernat,84 Points,2020.0
3925,3925,Lamoreaux Landing 2021 Vineyard Select Grüner Veltliner (Finger Lakes),$20 ,10.0,750,White,Finger Lakes,Grüner Veltliner,Lamoreaux Landing,84 Points,2021.0
3926,3926,Monte da Ravasqueira 2021 Guarda Rios Signature White (Alentejano),$20 ,13.0,750,White,Portugal,Portuguese White,Monte da Ravasqueira,84 Points,2021.0
3927,3927,Risk 2018 Cabernet Sauvignon (San Francisco Bay),$35 ,14.0,750,Red,Central Coast,Cabernet Sauvignon,Risk,84 Points,2018.0
3928,3928,Stony Brook 2017 The Max Red (Franschhoek),$23 ,14.0,750,Red,South Africa,Bordeaux-style Red Blend,Stony Brook,84 Points,2017.0
3930,3930,Château Rougier 2020  Bordeaux Supérieur,$14 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Rougier,83 Points,2020.0
3931,3931,Cru la Maqueline 2020  Bordeaux,$15 ,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Cru la Maqueline,83 Points,2020.0
3933,3933,Freedom Run 2018 Estate Reserve Cabernet Sauvignon (Niagara Escarpment),$35 ,13.0,750,Red,New York Other,Cabernet Sauvignon,Freedom Run,83 Points,2018.0
3935,3935,Maso Poli 2021 Pinot Grigio Pinot Grigio (Trentino),$22 ,14.0,750,White,Northeastern Italy,Pinot Grigio,Maso Poli,83 Points,2021.0
3940,3940,Blue Pyrenees 2018 Richardson Cabernet Sauvignon (Pyrenees),$35 ,14.0,750,Red,Victoria,Cabernet Sauvignon,Blue Pyrenees,95 Points,2018.0
3941,3941,Bethany 2018 GR Shiraz (Barossa Valley),$125 ,14.0,750,Red,South Australia,Shiraz,Bethany,92 Points,2018.0
3942,3942,Bethany 2019 Blue Quarry Shiraz (Barossa Valley),$45 ,14.0,750,Red,South Australia,Shiraz,Bethany,90 Points,2019.0
3943,3943,Fourth Wave 2020 Bumblebee Made with Organic Grapes Cabernet Sauvignon (South Australia),$17 ,14.0,750,Red,South Australia,Cabernet Sauvignon,Fourth Wave,90 Points,2020.0
3944,3944,Fourth Wave 2021 Bumblebee Made with Organic Grapes Chardonnay (South Australia),$17 ,13.0,750,White,South Australia,Chardonnay,Fourth Wave,88 Points,2021.0
3945,3945,Bethany 2018 First Village Shiraz-Cabernet (Barossa Valley),$35 ,14.0,750,Red,South Australia,"Shiraz-Cabernet, Red Blends",Bethany,87 Points,2018.0
3947,3947,Fourth Wave 2020 Little Brute Cabernet Sauvignon (Coonawarra),$20 ,14.0,750,Red,South Australia,Cabernet Sauvignon,Fourth Wave,86 Points,2020.0
3948,3948,Fourth Wave 2020 Little Brute Chardonnay (Adelaide Hills),$20 ,13.0,750,White,South Australia,Chardonnay,Fourth Wave,86 Points,2020.0
3949,3949,Iterum 2019 Orchard House Vineyard Estate Chardonnay (Eola-Amity Hills),$75 ,13.0,750,White,Willamette Valley,Chardonnay,Iterum,94 Points,2019.0
3950,3950,Iterum 2021 Old Friends Oak Grove Vineyard Sauvignon Blanc (Willamette Valley),$50 ,12.0,750,White,Willamette Valley,Sauvignon Blanc,Iterum,92 Points,2021.0
3951,3951,Ramey 2017 Cooley Ranch Cabernet Sauvignon (Sonoma County),$85 ,14.0,750,Red,Sonoma,Cabernet Sauvignon,Ramey,98 Points,2017.0
3953,3953,Daou 2019 Mayote Red (Adelaida District),$125 ,14.0,750,Red,Central Coast,Bordeaux-style Red Blend,Daou,97 Points,2019.0
3954,3954,Daou 2019 Mayote Red (Adelaida District),$125 ,14.0,750,Red,Central Coast,Bordeaux-style Red Blend,Daou,97 Points,2019.0
3955,3955,Domaine du Pegau 2018 Cuvée Réservée Red (Châteauneuf-du-Pape),$125 ,14.0,750,Red,Rhône Valley,Rhône-style Red Blend,Domaine du Pegau,97 Points,2018.0
3957,3957,Boheme 2019 Stuller Vineyard Estate Grown Pinot Noir (Sonoma Coast),$65 ,13.0,750,Red,Sonoma,Pinot Noir,Boheme,97 Points,2019.0
3958,3958,DuMOL 2020 Wester Reach Pinot Noir (Russian River Valley),$75 ,13.0,750,Red,Sonoma,Pinot Noir,DuMOL,96 Points,2020.0
3959,3959,Patz & Hall 2019 Burnside Pinot Noir (Russian River Valley),$85 ,13.0,750,Red,Sonoma,Pinot Noir,Patz & Hall,96 Points,2019.0
3960,3960,Baxter 2019 Weir Vineyard Pinot Noir (Yorkville Highlands),$56 ,13.0,750,Red,North Coast,Pinot Noir,Baxter,96 Points,2019.0
3961,3961,Ramey 2015 Rodgers Creek Vineyard Syrah (Petaluma Gap),$65 ,14.0,750,Red,Sonoma,Syrah,Ramey,96 Points,2015.0
3963,3963,Ramey 2019 Syrah (Sonoma Coast),$40 ,13.0,750,Red,Sonoma,Syrah,Ramey,96 Points,2019.0
3964,3964,Brewer-Clifton 2020 459 Pinot Noir (Sta. Rita Hills),$75 ,14.0,750,Red,Central Coast,Pinot Noir,Brewer-Clifton,96 Points,2020.0
3966,3966,WeatherEye 2019 Estate Syrah (Red Mountain),$85 ,15.0,750,Red,Columbia Valley,Syrah,WeatherEye,96 Points,2019.0
3967,3967,DuMOL 2020 Wester Reach Chardonnay (Russian River Valley),$65 ,14.0,750,White,Sonoma,Chardonnay,DuMOL,96 Points,2020.0
3968,3968,DuMOL 2020 Highland Divide Chardonnay (Russian River Valley),$65 ,14.0,750,White,Sonoma,Chardonnay,DuMOL,96 Points,2020.0
3969,3969,Ridge 2019 Monte Bello Red (Santa Cruz Mountains),$245 ,13.0,750,Red,Central Coast,Bordeaux-style Red Blend,Ridge,96 Points,2019.0
3971,3971,WeatherEye 2019 Estate Grenache (Red Mountain),$85 ,14.0,750,Red,Columbia Valley,Grenache,WeatherEye,96 Points,2019.0
3972,3972,Domaine Berthoumieu 2019 Vitis MCM  (Madiran),$45 ,14.0,750,Red,Southwest France,Tannat,Domaine Berthoumieu,95 Points,2019.0
3973,3973,DuMOL 2020 Wild Mountainside Syrah (Russian River Valley),$65 ,14.0,750,Red,Sonoma,Syrah,DuMOL,95 Points,2020.0
3974,3974,Edouard Delaunay 2019 Grand Cru  (Clos de Vougeot),$330 ,13.0,750,Red,Burgundy,Pinot Noir,Edouard Delaunay,95 Points,2019.0
3976,3976,Prats & Symington LDA 2019 Chryseia Red (Douro),$95 ,14.0,750,Red,Portugal,Portuguese Red,Prats & Symington LDA,95 Points,2019.0
3978,3978,Quinta do Vallado 2019 Vinha da Granja Red (Douro),$270 ,14.0,750,Red,Portugal,Portuguese Red,Quinta do Vallado,95 Points,2019.0
3979,3979,Walt 2020 Clos Pepe Vineyard Pinot Noir (Sta. Rita Hills),$85 ,14.0,750,Red,Central Coast,Pinot Noir,Walt,95 Points,2020.0
3981,3981,Château de Saint Cosme 2018 Red (Châteauneuf-du-Pape),$70 ,14.0,750,Red,Rhône Valley,Rhône-style Red Blend,Château de Saint Cosme,95 Points,2018.0
