,Unnamed: 0,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
<<<<<<< HEAD
2493,2493,Peake Ranch 2020 Pinot Noir (Sta. Rita Hills),$45 ,14.0,750,1,Central Coast,Pinot Noir,Peake Ranch,92.0,2020.0
2495,2495,Ursa 2018 Petite Sirah (Sierra Foothills),$30 ,14.0,750,1,Sierra Foothills,Petite Sirah,Ursa,92.0,2018.0
2496,2496,Anselmo Mendes 2021 Muros Antigos Alvarinho Alvarinho (Vinho Verde),$22 ,12.0,750,2,Portugal,"Alvarinho, Albariño",Anselmo Mendes,92.0,2021.0
2497,2497,Bernardus 2021 Pinot Noir (Santa Lucia Highlands),$45 ,14.0,750,1,Central Coast,Pinot Noir,Bernardus,92.0,2021.0
2500,2500,Cadre 2021 Stone Blossom Sauvignon Blanc (Edna Valley),$28 ,14.0,750,2,Central Coast,Sauvignon Blanc,Cadre,92.0,2021.0
2502,2502,Château le Conte Marquey 2018  Puisseguin Saint-Émilion,$25 ,14.0,750,1,Bordeaux,Bordeaux-style Red Blend,Château le Conte Marquey,92.0,2018.0
2503,2503,Château les Grandes Versannes 2019  Saint-Émilion,$30 ,13.0,750,1,Bordeaux,Bordeaux-style Red Blend,Château les Grandes Versannes,92.0,2019.0
2504,2504,Davis Estates 2018 Cabernet Sauvignon (Napa Valley),$85 ,14.0,750,1,Napa,Cabernet Sauvignon,Davis Estates,92.0,2018.0
2505,2505,Diora 2020 La Grande Lumière San Bernabe Vineyard Chardonnay (Monterey),$40 ,14.0,750,2,Central Coast,Chardonnay,Diora,92.0,2020.0
2506,2506,Domaine Baron de l'Ecluse 2020 Les Garances  (Côte de Brouilly),$25 ,14.0,750,1,Beaujolais,Gamay,Domaine Baron de l'Ecluse,92.0,2020.0
2507,2507,Dunites 2020 Islay Hill Vineyard Grenache (Edna Valley),$38 ,13.0,750,1,Central Coast,Grenache,Dunites,92.0,2020.0
2508,2508,Eberle 2021 Eberle Estate Vineyard Chardonnay (Paso Robles),$30 ,14.0,750,2,Central Coast,Chardonnay,Eberle,92.0,2021.0
2509,2509,Fess Parker 2020 Rodney's Vineyard Viognier (Santa Barbara County),$39 ,14.0,750,2,Central Coast,Viognier,Fess Parker,92.0,2020.0
2510,2510,Ingrid Groiss 2020 Ried Sauberg Tradition Grüner Veltliner (Niederösterreich),$49 ,13.0,750,2,Austria,Grüner Veltliner,Ingrid Groiss,92.0,2020.0
2511,2511,Kranemann Wine Estates 2018 Quinta do Convento Reserva White (Douro),$35 ,12.0,750,2,Portugal,Portuguese White,Kranemann Wine Estates,92.0,2018.0
2512,2512,Résonance 2020 Découverte Vineyard Chardonnay (Dundee Hills),$60 ,13.0,750,2,Willamette Valley,Chardonnay,Résonance,92.0,2020.0
2514,2514,Quinta do Portal 2019 Grande Reserva White (Douro),$50 ,14.0,750,2,Portugal,Portuguese White,Quinta do Portal,92.0,2019.0
2515,2515,Refugio Ranch 2019 Barbareño Syrah-Petite Sirah (Santa Ynez Valley),$60 ,14.0,750,1,Central Coast,"Syrah-Petite Sirah, Red Blends",Refugio Ranch,92.0,2019.0
2516,2516,Refugio Ranch 2020 Ineseno White (Santa Ynez Valley),$34 ,14.0,750,2,Central Coast,Rhône-style White Blend,Refugio Ranch,92.0,2020.0
2517,2517,Riverbench 2020 Pinot Noir (Santa Maria Valley),$34 ,13.0,750,1,Central Coast,Pinot Noir,Riverbench,92.0,2020.0
2518,2518,Santos & Seixo 2018 Santos da Casa Grande Reserva Red (Douro),$48 ,14.0,750,1,Portugal,Portuguese Red,Santos & Seixo,92.0,2018.0
2519,2519,Sokol Blosser 2021 Estate Pinot Gris (Willamette Valley),$26 ,13.0,750,2,Willamette Valley,Pinot Gris,Sokol Blosser,92.0,2021.0
2520,2520,Terras de Alter 2018 Outeiro Red (Alentejano),$50 ,15.0,750,1,Portugal,Portuguese Red,Terras de Alter,92.0,2018.0
2522,2522,V. Sattui 2020 Chardonnay (Napa Valley),$38 ,14.0,750,2,Napa,Chardonnay,V. Sattui,92.0,2020.0
2523,2523,Wine & Soul 2019 Quinta da Manoella Red (Douro),$25 ,14.0,750,1,Portugal,Portuguese Red,Wine & Soul,92.0,2019.0
2526,2526,Netzl 2019 Ried Bärnreiser 1ÖTW Anna-Christina Red (Carnuntum),$69 ,14.0,750,1,Austria,"Red Blends, Red Blends",Netzl,92.0,2019.0
2527,2527,Quinta da Rede 2019 Vinha do Pinheiro White (Douro),$40 ,13.0,750,2,Portugal,Portuguese White,Quinta da Rede,92.0,2019.0
2528,2528,Quinta das Bandeiras 2021 Passagem by La Rosa Reserva White (Douro),$25 ,12.0,750,2,Portugal,Portuguese White,Quinta das Bandeiras,92.0,2021.0
2529,2529,Château Paloumey 2020 Cru Bourgeois  (Haut-Médoc),$55 ,14.0,750,1,Bordeaux,Bordeaux-style Red Blend,Château Paloumey,92.0,2020.0
2530,2530,B Cellars 2019 Bridgeline Vineyard Cabernet Sauvignon (Oakville),$140 ,15.0,750,1,Napa,Cabernet Sauvignon,B Cellars,92.0,2019.0
2531,2531,Berryessa Gap 2019 Tempranillo (Yolo County),$28 ,13.0,750,1,Central Valley,Tempranillo,Berryessa Gap,92.0,2019.0
2532,2532,Cadre 2021 Sea Queen Albariño (Edna Valley),$28 ,13.0,750,2,Central Coast,Albariño,Cadre,92.0,2021.0
2534,2534,Casa da Passarella 2019 O Oenológo Vinhas Velhas Red (Dão),$45 ,13.0,750,1,Portugal,Portuguese Red,Casa da Passarella,92.0,2019.0
2535,2535,Château Deyrem Valentin 2020 Cru Bourgeois  (Margaux),$55 ,14.0,750,1,Bordeaux,Bordeaux-style Red Blend,Château Deyrem Valentin,92.0,2020.0
2536,2536,Château Maltus 2021 Ambre de Maltus  (Bordeaux Blanc),$34 ,13.0,750,2,Bordeaux,Bordeaux-style White Blend,Château Maltus,92.0,2021.0
2537,2537,Ciavolich 2018 Fosso Cancelli Pecorino (Colline Pescaresi),$50 ,13.0,750,2,Central Italy,"Pecorino, Italian White",Ciavolich,92.0,2018.0
2538,2538,Clementine Carter 2020 Graciano (Santa Ynez Valley),$48 ,14.0,750,1,Central Coast,"Graciano, Spanish Red",Clementine Carter,92.0,2020.0
2539,2539,Colab and Bloom 2020 Cabernet Sauvignon (McLaren Vale),$20 ,14.0,750,1,South Australia,Cabernet Sauvignon,Colab and Bloom,92.0,2020.0
2540,2540,D'Arenberg 2018 The Twenty Eight Road Mourvèdre (McLaren Vale),$29 ,14.0,750,1,South Australia,Mourvèdre,D'Arenberg,92.0,2018.0
2541,2541,Domaine Dubost 2020 Le Vivier  (Fleurie),$27 ,13.0,750,1,Beaujolais,Gamay,Domaine Dubost,92.0,2020.0
2542,2542,Duckhorn 2019 Cabernet Franc (Napa Valley),$80 ,14.0,750,1,Napa,Cabernet Franc,Duckhorn,92.0,2019.0
2543,2543,Epiphany 2020 Rodney's Vineyard Grenache Blanc (Santa Barbara County),$28 ,14.0,750,2,Central Coast,"Grenache Blanc, Other White",Epiphany,92.0,2020.0
2544,2544,Folktale 2019 The Hound Massa Estate Red (Carmel Valley),$95 ,13.0,750,1,Central Coast,Bordeaux-style Red Blend,Folktale,92.0,2019.0
2546,2546,Herdade Aldeia de Cima 2019 Myndru Red (Alentejano),$159 ,13.0,750,1,Portugal,Portuguese Red,Herdade Aldeia de Cima,92.0,2019.0
2547,2547,Kaiken 2019 Disobedience by Francis Mallmann Red (Uco Valley),$25 ,15.0,750,1,Mendoza Province,Bordeaux-style Red Blend,Kaiken,92.0,2019.0
2549,2549,Michael David 2020 Petite Petit Petite Sirah (Lodi),$18 ,15.0,750,1,Central Valley,Petite Sirah,Michael David,92.0,2020.0
2550,2550,Parras Wines 2020 Quinta do Gradil Arinto Arinto (Lisboa),$22 ,13.0,750,2,Portugal,"Arinto, Portuguese White",Parras Wines,92.0,2020.0
2552,2552,Poças 2021 Fora da Série Lagar das Quartas Red (Douro),$30 ,13.0,750,1,Portugal,Portuguese Red,Poças,92.0,2021.0
2553,2553,Quevedo 2020 Q Grande Reserva Red (Douro),$45 ,13.0,750,2,Portugal,Portuguese Red,Quevedo,92.0,2020.0
2554,2554,Quinta das Bandeiras 2019 Passagem by La Rosa Reserva Red (Douro),$21 ,14.0,750,1,Portugal,Portuguese Red,Quinta das Bandeiras,92.0,2019.0
2555,2555,Quinta das Bandeiras 2020 Passagem by La Rosa Red (Douro),$25 ,14.0,750,1,Portugal,Portuguese Red,Quinta das Bandeiras,92.0,2020.0
2556,2556,Château Gilbert & Gaillard 2018 Roc Blanc Red (Saint-Chinian),$37 ,14.0,750,1,Languedoc-Roussillon,Rhône-style Red Blend,Château Gilbert & Gaillard,92.0,2018.0
2557,2557,Quinta do Pinto 2019 Viognier-Chardonnay Viognier-Chardonnay (Lisboa),$24 ,14.0,750,2,Portugal,"Viognier-Chardonnay, White Blend",Quinta do Pinto,92.0,2019.0
2559,2559,Sean Minor 2021 Signature Series Pinot Noir (Sonoma Coast),$28 ,14.0,750,1,Sonoma,Pinot Noir,Sean Minor,92.0,2021.0
2560,2560,Torbreck 2018 The Pict Mataro (Barossa Valley),$100 ,15.0,750,1,South Australia,"Mataro, Mourvèdre",Torbreck,92.0,2018.0
2561,2561,Torbreck 2019 The Factor Shiraz (Barossa Valley),$120 ,15.0,750,1,South Australia,Shiraz,Torbreck,92.0,2019.0
2562,2562,Torbreck 2020 The Steading Red (Barossa Valley),$40 ,15.0,750,1,South Australia,"Red Blends, Red Blends",Torbreck,92.0,2020.0
2563,2563,Ursa 2018 Souzao (Sierra Foothills),$32 ,13.0,750,1,Sierra Foothills,"Souzao, Portuguese Red",Ursa,92.0,2018.0
2564,2564,Wenzel 2020 Autark Furmint (Austria),$32 ,12.0,750,2,Austria,"Furmint, Other White",Wenzel,92.0,2020.0
2565,2565,DFJ Vinhos 2019 Consensus Red (Lisboa),$25 ,13.0,750,1,Portugal,Portuguese Red,DFJ Vinhos,91.0,2019.0
2567,2567,Domingo Molina 2016 M2 Estate Bottled Malbec (Salta),$30 ,14.0,750,1,Other,Malbec,Domingo Molina,91.0,2016.0
2568,2568,Doña Paula 2019 Selección de Bodega Alluvia Vineyard Malbec (Gualtallary),$45 ,14.0,750,1,Mendoza Province,Malbec,Doña Paula,91.0,2019.0
2569,2569,Fess Parker 2020 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),$60 ,14.0,750,1,Central Coast,Pinot Noir,Fess Parker,91.0,2020.0
2570,2570,Fleur de California 2020 Carneros Select Pinot Noir (Carneros),$24 ,13.0,750,1,Napa-Sonoma,Pinot Noir,Fleur de California,91.0,2020.0
2571,2571,Folktale 2019 The Messenger Sangiovese-Cabernet Sauvignon (Monterey County),$54 ,13.0,750,1,Central Coast,"Sangiovese-Cabernet Sauvignon, Red Blends",Folktale,91.0,2019.0
2572,2572,Folktale 2021 Albariño (Arroyo Seco),$36 ,13.0,750,2,Central Coast,Albariño,Folktale,91.0,2021.0
2573,2573,Ivin 2018 Bota Velha Vinhas Antigas Red (Douro),$30 ,14.0,750,1,Portugal,Portuguese Red,Ivin,91.0,2018.0
2574,2574,Jamie Slone Wines 2020 Sauvignon Blanc (Happy Canyon of Santa Barbara),$35 ,13.0,750,2,Central Coast,Sauvignon Blanc,Jamie Slone Wines,91.0,2020.0
2575,2575,Koppitsch 2019 Perspektive Rot Red (Weinland Österreich),$31 ,11.0,750,1,Austria,"Red Blends, Red Blends",Koppitsch,91.0,2019.0
2576,2576,Kukkula 2019 Pas de Deux Red (Adelaida District),$55 ,14.0,750,1,Central Coast,Rhône-style Red Blend,Kukkula,91.0,2019.0
2578,2578,Lichtenberger González 2018 Skin Contact Grüner Veltliner (Burgenland),$26 ,13.0,750,2,Austria,Grüner Veltliner,Lichtenberger González,91.0,2018.0
2579,2579,Locatelli 2019 Cabernet Franc (Paso Robles),$38 ,14.0,750,1,Central Coast,Cabernet Franc,Locatelli,91.0,2019.0
2580,2580,Luna Hart 2021 Spear Vineyard Grüner Veltliner (Sta. Rita Hills),$32 ,11.0,750,2,Central Coast,Grüner Veltliner,Luna Hart,91.0,2021.0
2581,2581,Peake Ranch 2020 Chardonnay (Santa Barbara County),$60 ,13.0,750,2,Central Coast,Chardonnay,Peake Ranch,91.0,2020.0
2582,2582,Poças 2020 Poças Reserva Red (Douro),$35 ,14.0,750,1,Portugal,Portuguese Red,Poças,91.0,2020.0
2583,2583,Quinta da Pacheca 2019 Lagar de Granito Reserva Red (Douro),$20 ,14.0,750,1,Portugal,Portuguese Red,Quinta da Pacheca,91.0,2019.0
2584,2584,Addendum 2018 Cabernet Sauvignon (Napa Valley),$90 ,14.0,750,1,Napa,Cabernet Sauvignon,Addendum,91.0,2018.0
2585,2585,Alpamanta 2012 Terroir Malbec (Luján de Cuyo),$45 ,15.0,750,1,Mendoza Province,Malbec,Alpamanta,91.0,2012.0
2587,2587,Bec Hardy 2020 Pertaringa Lakeside Cabernet Sauvignon (South Australia),$20 ,14.0,750,1,South Australia,Cabernet Sauvignon,Bec Hardy,91.0,2020.0
2588,2588,Bernardus 2021 Griva Vineyard Sauvignon Blanc (Arroyo Seco),$28 ,12.0,750,2,Central Coast,Sauvignon Blanc,Bernardus,91.0,2021.0
2589,2589,Berryessa Gap 2019 Zinfandel (Yolo County),$27 ,14.0,750,1,Central Valley,Zinfandel,Berryessa Gap,91.0,2019.0
2591,2591,Brander 2021 Muscat (Los Olivos District),$28 ,12.0,750,2,Central Coast,Muscat,Brander,91.0,2021.0
2593,2593,Casa da Passarella 2018 Albanico Reserva Red (Dão),$24 ,13.0,750,1,Portugal,Portuguese Red,Casa da Passarella,91.0,2018.0
2594,2594,Casa de Cambres 2018 Grande Reserva White (Douro),$40 ,13.0,750,2,Portugal,Portuguese White,Casa de Cambres,91.0,2018.0
2596,2596,Casa Relvas 2020 Herdade de São Miguel Reserva Red (Alentejano),$38 ,15.0,750,1,Portugal,Portuguese Red,Casa Relvas,91.0,2020.0
2598,2598,Gérard Bertrand 2019 Cote des Roses Pinot Noir (Pays d'Oc),$18 ,13.0,750,1,Languedoc-Roussillon,Pinot Noir,Gérard Bertrand,91.0,2019.0
2600,2600,Quinta do Covão 2019 Mary Taylor Selection White (Dão),$20 ,13.0,750,2,Portugal,Portuguese White,Quinta do Covão,91.0,2019.0
2601,2601,Quinta do Pinto 2018 Grande Escolha White (Lisboa),$50 ,14.0,750,2,Portugal,Portuguese White,Quinta do Pinto,91.0,2018.0
2602,2602,Quinta dos Murças 2019 Margem Red (Douro),$45 ,13.0,750,1,Portugal,Portuguese Red,Quinta dos Murças,91.0,2019.0
2603,2603,Schild Estate 2018 Narrow Road Vineyard Shiraz-Cabernet Sauvignon (Barossa Valley),$50 ,14.0,750,1,South Australia,"Shiraz-Cabernet Sauvignon, Red Blends",Schild Estate,91.0,2018.0
2604,2604,Storm Wines 2021 Sauvignon Blanc (Santa Ynez Valley),$28 ,13.0,750,2,Central Coast,Sauvignon Blanc,Storm Wines,91.0,2021.0
2605,2605,Tement 2020 Sand & Schiefer Gelber Muskateller (Südsteiermark),$23 ,11.0,750,2,Austria,"Gelber Muskateller, Other White",Tement,91.0,2020.0
2606,2606,Terah 2021 Ramato Bassi Vineyard Pinot Gris (San Luis Obispo County),$30 ,12.0,750,2,Central Coast,Pinot Gris,Terah,91.0,2021.0
2607,2607,Thorn Clarke 2020 Milton Park Chardonnay (South Australia),$14 ,13.0,750,2,South Australia,Chardonnay,Thorn Clarke,91.0,2020.0
2608,2608,Trapiche 2018 Terroir Series Finca Ambrosia Malbec (Gualtallary),$50 ,15.0,750,1,Mendoza Province,Malbec,Trapiche,91.0,2018.0
2609,2609,Vicente Faria Vinhos 2019 Quinta Vale Santa Luzia Reserva Red (Douro),$25 ,14.0,750,1,Portugal,Portuguese Red,Vicente Faria Vinhos,91.0,2019.0
2610,2610,Wiens Cellars 2018 Kriel Vineyard Cabernet Sauvignon (Temecula Valley),$165 ,14.0,750,1,South Coast,Cabernet Sauvignon,Wiens Cellars,91.0,2018.0
2611,2611,Azienda Agricola Roberto Ceraudo Strongoli 2019 Petelia White (Calabria),$22 ,13.0,750,2,Southern Italy,White Blend,Azienda Agricola Roberto Ceraudo Strongoli,91.0,2019.0
2612,2612,Château Nozières 2020 Amboise de l'Her  (Cahors),$20 ,14.0,750,1,Southwest France,"Malbec-Merlot, Bordeaux-style Red Blend",Château Nozières,91.0,2020.0
2615,2615,Alfaro Family 2020 Trout Gulch Vineyard Chardonnay (Santa Cruz Mountains),$33 ,12.0,750,2,Central Coast,Chardonnay,Alfaro Family,91.0,2020.0
2616,2616,Alma de Cattleya 2021 Chardonnay (Sonoma County),$28 ,14.0,750,2,Sonoma,Chardonnay,Alma de Cattleya,91.0,2021.0
2617,2617,Alzinger 2021 Dürnstein Federspiel Grüner Veltliner (Wachau),$26 ,12.0,750,2,Austria,Grüner Veltliner,Alzinger,91.0,2021.0
2619,2619,Au Bon Climat 2018 La Bauge Au-dessus Pinot Noir (Santa Maria Valley),$35 ,13.0,750,1,Central Coast,Pinot Noir,Au Bon Climat,91.0,2018.0
2620,2620,Babcock 2019 Bright Fortune Cabernet Franc (Santa Barbara County),$35 ,13.0,750,1,Central Coast,Cabernet Franc,Babcock,91.0,2019.0
2621,2621,Babcock 2021 Chardonnay (Sta. Rita Hills),$35 ,13.0,750,2,Central Coast,Chardonnay,Babcock,91.0,2021.0
2622,2622,Blade & Talon 2021 Calleri Vineyard Falanghina (San Benito),$35 ,13.0,750,2,Central Coast,"Falanghina, Italian White",Blade & Talon,91.0,2021.0
2623,2623,Casa Relvas 2020 Ciconia The Reserve Blend Red (Alentejano),$20 ,14.0,750,1,Portugal,Portuguese Red,Casa Relvas,91.0,2020.0
